"Name","Frequency"
"BENJAMIN",772
"LIAM",745
"NOAH",745
"ETHAN",720
"LUCAS",676
"WILLIAM",642
"JACOB",626
"OLIVER",603
"JAMES",585
"LOGAN",561
"NATHAN",504
"ALEXANDER",495
"OWEN",495
"JACK",491
"MASON",485
"DANIEL",443
"JACKSON",423
"LINCOLN",421
"ADAM",412
"AIDEN",403
"GABRIEL",400
"RYAN",389
"HENRY",384
"SAMUEL",365
"CARTER",364
"MICHAEL",363
"JOSHUA",357
"THOMAS",353
"MATTHEW",347
"HUDSON",344
"HUNTER",329
"WYATT",312
"ISAAC",307
"DAVID",305
"CONNOR",297
"EVAN",297
"THEODORE",297
"NICHOLAS",295
"CALEB",292
"LEO",290
"ELIJAH",284
"JAYDEN",284
"GRAYSON",283
"SEBASTIAN",283
"JOSEPH",279
"LUKE",275
"JAXON",273
"MUHAMMAD",270
"AUSTIN",269
"ZACHARY",269
"NOLAN",257
"JOHN",256
"ANDREW",237
"ANTHONY",234
"LEVI",232
"MARCUS",232
"EMMETT",228
"DYLAN",226
"CAMERON",222
"CHARLES",210
"XAVIER",209
"COLTON",206
"BLAKE",204
"CHRISTIAN",196
"DOMINIC",193
"AARON",191
"TRISTAN",190
"HARRISON",188
"NATHANIEL",188
"WESLEY",186
"LUCA",185
"MAX",185
"JORDAN",184
"ADRIAN",183
"COLE",183
"JONATHAN",179
"GAVIN",178
"BRAYDEN",177
"LANDON",175
"PARKER",173
"CHASE",172
"EASTON",169
"JULIAN",165
"ISAIAH",163
"JASON",163
"CARSON",162
"TYLER",162
"ALI",161
"GEORGE",160
"JAXSON",160
"BENNETT",159
"MAXWELL",159
"SAWYER",155
"ELI",152
"EVERETT",148
"MATTEO",148
"IBRAHIM",143
"KAI",143
"ELIAS",141
"DECLAN",140
"CHRISTOPHER",138
"RYDER",134
"CHARLIE",133
"COOPER",131
"ASHER",130
"MILES",129
"MATEO",128
"FELIX",127
"BENTLEY",126
"NASH",126
"ELLIOT",125
"JUSTIN",125
"ROWAN",124
"EZRA",122
"KAYDEN",122
"VINCENT",122
"JAKE",120
"ERIC",119
"COHEN",118
"JASPER",117
"LUKAS",116
"GREYSON",115
"HAYDEN",115
"JACE",115
"ASHTON",114
"RILEY",114
"BRODY",112
"AIDAN",111
"MYLES",111
"SIMON",109
"SPENCER",108
"AVERY",107
"EDWARD",107
"ALEX",106
"OMAR",106
"RYKER",105
"ROBERT",104
"FINN",102
"AYDEN",100
"GRIFFIN",100
"IAN",100
"ELLIOTT",99
"MAXIMUS",99
"OSCAR",99
"EMERSON",98
"MAVERICK",98
"LEONARDO",95
"ROMAN",95
"PATRICK",93
"BRYCE",92
"THEO",91
"TYSON",91
"SILAS",90
"HAMZA",89
"KYLE",88
"PETER",88
"BRYSON",87
"YUSUF",87
"MICAH",85
"WESTON",85
"CALLUM",84
"JEREMIAH",84
"CLARK",83
"DANTE",83
"KEVIN",83
"REID",83
"CALVIN",82
"JUDE",82
"AARAV",81
"COLIN",80
"MOHAMMAD",80
"ZAYN",80
"KAIDEN",79
"KINGSTON",79
"FINLEY",78
"KALEB",77
"NICOLAS",77
"PRESTON",77
"BEAU",75
"ABDULLAH",74
"LUKA",74
"MARK",74
"JAX",73
"JEREMY",73
"ARTHUR",71
"JONAH",71
"JOSIAH",70
"KIAN",70
"JAYCE",69
"JESSE",69
"LACHLAN",69
"TIMOTHY",69
"ABEL",68
"ARCHER",68
"JOEL",68
"IVAN",67
"MALCOLM",67
"AHMED",66
"ARJUN",65
"AYAAN",65
"DAMIAN",65
"MARCO",65
"RHYS",65
"BRANDON",64
"RONAN",64
"RIVER",63
"JADEN",61
"RICHARD",61
"XANDER",61
"DEAN",60
"LORENZO",60
"MOHAMMED",60
"QUINN",60
"VICTOR",60
"ODIN",59
"ZANE",59
"MARTIN",58
"AHMAD",57
"DAMIEN",57
"SEAN",57
"EMMANUEL",56
"LOCHLAN",56
"MADDOX",56
"PHOENIX",56
"DAWSON",55
"HARVEY",55
"MIGUEL",55
"RAYAN",55
"SETH",55
"MARSHALL",54
"ZION",54
"AMIR",53
"EZEKIEL",53
"ARYAN",52
"BODHI",52
"BRADY",52
"HUGO",52
"LOUIS",52
"RORY",52
"ANTONIO",51
"PAUL",51
"RYLAN",51
"TRAVIS",51
"BECKETT",50
"JASE",50
"KIERAN",50
"SULLIVAN",50
"TOBIAS",50
"ZAIN",50
"CAMDEN",49
"MILO",49
"MUSA",49
"RAYYAN",49
"SYED",49
"TROY",49
"BRADLEY",48
"JAMESON",48
"MALACHI",48
"MOHAMED",48
"PHILIP",48
"SAM",48
"TANNER",48
"ZANDER",48
"HOLDEN",47
"ALEXANDRE",46
"BRIAN",46
"OLIVIER",46
"BENSON",45
"DARIUS",45
"KEEGAN",45
"RUSSELL",45
