de,a,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2018-11-05T09:30:00+01:00,2018-11-05T10:15:00+01:00,,,Europe/Madrid,Swimming,"{""calories"":172,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""laps"":0,""mvts"":0,""pool_length"":25,""type"":9}",,2018-11-05T23:26:44+01:00
2018-11-05T11:02:00+01:00,2018-11-05T11:21:00+01:00,,,Europe/Madrid,Walking,"{""calories"":43,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2096,""distance"":1721,""elevation"":89,""metcumul"":89}","{""end_coordinate_latitude"":0,""end_coordinate_longitude"":0,""region_center_latitude"":0,""region_center_longitude"":0,""span_latitude_delta"":0,""span_longitude_delta"":0,""start_coordinate_latitude"":0,""start_coordinate_longitude"":0}",2018-11-06T15:44:38+01:00
2018-11-05T14:10:00+01:00,2018-11-05T14:30:00+01:00,,,Europe/Madrid,Walking,"{""calories"":38,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2099,""distance"":1623,""elevation"":83,""metcumul"":83}",,2018-11-05T23:23:46+01:00
2018-11-05T18:29:00+01:00,2018-11-05T18:47:00+01:00,,,Europe/Madrid,Walking,"{""calories"":32,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1791,""distance"":1360,""elevation"":72,""metcumul"":72}",,2018-11-05T23:23:50+01:00
2018-11-05T21:01:00+01:00,2018-11-05T21:21:00+01:00,,,Europe/Madrid,Walking,"{""calories"":32,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1850,""distance"":1379,""elevation"":75,""metcumul"":75}","{""end_coordinate_latitude"":0,""end_coordinate_longitude"":0,""region_center_latitude"":0,""region_center_longitude"":0,""span_latitude_delta"":0,""span_longitude_delta"":0,""start_coordinate_latitude"":0,""start_coordinate_longitude"":0}",2018-11-06T15:44:38+01:00
2018-11-07T13:46:00+01:00,2018-11-07T14:02:00+01:00,,,Europe/Madrid,Walking,"{""calories"":31,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1774,""distance"":1334,""elevation"":69,""metcumul"":69}",,2018-11-10T10:29:38+01:00
2018-11-07T16:23:00+01:00,2018-11-07T16:40:00+01:00,,,Europe/Madrid,Walking,"{""calories"":29,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1745,""distance"":1230,""elevation"":68,""metcumul"":68}",,2018-11-10T10:29:38+01:00
2018-11-08T16:48:00+01:00,2018-11-08T16:57:00+01:00,,,Europe/Madrid,Walking,"{""calories"":15,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":826,""distance"":637,""elevation"":34,""metcumul"":34}",,2018-11-10T10:29:39+01:00
2018-11-08T18:35:00+01:00,2018-11-08T18:56:00+01:00,,,Europe/Madrid,Walking,"{""calories"":35,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":1973,""distance"":1511,""elevation"":81,""metcumul"":81}",,2018-11-10T10:29:39+01:00
2018-11-08T19:26:00+01:00,2018-11-08T19:46:00+01:00,,,Europe/Madrid,Walking,"{""calories"":38,""intensity"":50,""hr_average"":0,""hr_min"":0,""hr_max"":0,""hr_zone_0"":0,""hr_zone_1"":0,""hr_zone_2"":0,""hr_zone_3"":0,""steps"":2063,""distance"":1609,""elevation"":83,""metcumul"":83}",,2018-11-10T10:29:39+01:00
