de,a,"ligero (s)","profundo (s)","Rem (seg)","despierto (s)",despertar,"Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)"
2018-11-01T23:08:00+01:00,2018-11-02T09:15:00+01:00,18720,15480,0,2220,2,0,420,0,0,0,0,0
2018-11-03T02:18:00+01:00,2018-11-03T09:48:00+01:00,9240,16080,0,1680,1,360,840,0,0,0,0,0
2018-11-03T23:15:00+01:00,2018-11-04T10:07:00+01:00,16680,19320,0,3120,5,0,0,0,0,0,0,0
2018-11-04T23:58:00+01:00,2018-11-05T07:52:00+01:00,11280,14940,0,2220,3,300,240,0,0,0,0,0
2018-11-05T23:35:00+01:00,2018-11-06T07:57:00+01:00,11460,17160,0,1500,2,360,0,0,0,0,0,0
2018-11-07T00:37:00+01:00,2018-11-07T07:45:00+01:00,7800,14400,0,3480,4,120,720,0,0,0,0,0
2018-11-07T23:14:00+01:00,2018-11-08T07:49:00+01:00,13920,15420,0,1560,2,300,540,0,0,0,0,0
2018-11-08T23:13:00+01:00,2018-11-09T08:51:00+01:00,NA,15240,0,4740,4,1560,0,0,0,0,0,0
2018-11-09T23:16:00+01:00,2018-11-10T08:53:00+01:00,13020,19740,0,1860,3,600,0,0,0,0,0,0
2018-11-11T23:52:00+01:00,2018-11-12T08:03:00+01:00,12420,14400,0,2640,4,360,120,0,0,0,0,0
2018-11-17T01:46:00+01:00,2018-11-17T09:38:00+01:00,17760,9420,0,1140,3,180,0,0,0,0,0,0
2018-11-18T01:41:00+01:00,2018-11-18T09:38:00+01:00,11700,13920,0,3000,2,1020,420,0,0,0,0,0
2018-11-19T01:04:00+01:00,2018-11-19T07:51:00+01:00,NA,13380,0,1020,2,300,0,0,0,0,0,0
2018-11-19T23:05:00+01:00,2018-11-20T07:50:00+01:00,NA,19620,0,2280,2,180,540,0,0,0,0,0
2018-11-21T00:39:00+01:00,2018-11-21T08:07:00+01:00,12360,13500,0,1020,2,360,60,0,0,0,0,0
2018-11-22T00:26:00+01:00,2018-11-22T07:46:00+01:00,11400,13320,0,1680,2,0,180,0,0,0,0,0
2018-11-22T22:30:00+01:00,2018-11-23T07:59:00+01:00,12720,19560,0,1860,3,0,0,0,0,0,0,0
2018-11-23T23:52:00+01:00,2018-11-24T08:34:00+01:00,11700,17820,0,1800,3,120,0,0,0,0,0,0
2018-11-25T01:23:00+01:00,2018-11-25T08:33:00+01:00,15120,9180,0,1500,2,360,0,0,0,0,0,0
2018-11-25T22:05:00+01:00,2018-11-26T07:59:00+01:00,19260,13500,0,2880,5,0,0,0,0,0,0,0
2018-11-26T23:57:00+01:00,2018-11-27T07:42:00+01:00,14820,12180,0,900,1,300,120,2,0,0,0,0
2018-11-28T00:35:00+01:00,2018-11-28T07:39:00+01:00,11520,12600,0,1320,4,120,0,0,0,0,0,0
2018-11-29T00:01:00+01:00,2018-11-29T07:56:00+01:00,16140,11520,0,840,0,420,420,0,0,0,0,0
2018-12-03T00:49:00+01:00,2018-12-03T08:10:00+01:00,12360,11880,0,2220,3,360,480,0,0,0,0,0
2018-12-03T23:22:00+01:00,2018-12-04T08:01:00+01:00,NA,14580,0,1800,2,360,0,0,0,0,0,0
2018-12-05T23:01:00+01:00,2018-12-06T08:34:00+01:00,16620,15300,0,2460,3,120,0,0,0,0,0,0
2018-12-06T22:07:00+01:00,2018-12-07T08:40:00+01:00,18720,13800,0,1560,3,360,60,0,0,0,0,0
2018-12-07T22:20:00+01:00,2018-12-08T08:45:00+01:00,10260,23280,0,3960,5,420,180,1,0,0,0,0
2018-12-08T22:20:00+01:00,2018-12-09T09:06:00+01:00,16080,19740,0,2940,4,360,360,0,0,0,0,0
2019-02-17T23:14:00+01:00,2019-02-18T06:47:00+01:00,9060,NA,0,3360,3,1320,0,0,0,0,0,0
2019-02-18T23:20:00+01:00,2019-02-19T07:22:00+01:00,12180,15420,0,1320,1,300,600,0,0,0,0,0
2019-02-20T00:16:00+01:00,2019-02-20T05:14:00+01:00,4920,12060,0,900,1,180,180,0,0,0,0,0
2019-02-20T23:09:00+01:00,2019-02-21T08:02:00+01:00,17400,11040,0,3540,4,180,120,0,0,0,0,0
2019-02-22T00:31:00+01:00,2019-02-22T07:09:00+01:00,8400,13380,0,2100,1,300,1140,0,0,0,0,0
2019-02-22T23:27:00+01:00,2019-02-23T06:31:00+01:00,13680,10380,0,1380,2,420,0,2,0,0,0,0
2019-02-23T16:23:00+01:00,2019-02-23T18:08:00+01:00,1800,3420,0,1080,1,180,300,0,0,0,0,0
2019-02-23T23:40:00+01:00,2019-02-24T07:05:00+01:00,12660,12180,0,1860,2,240,180,0,0,0,0,0
2019-02-25T23:31:00+01:00,2019-02-26T07:39:00+01:00,8820,18540,0,1920,2,360,420,0,0,0,0,0
2019-02-26T23:33:00+01:00,2019-02-27T07:27:00+01:00,10680,14580,0,3180,3,180,120,0,0,0,0,0
2019-02-27T22:43:00+01:00,2019-02-28T07:17:00+01:00,15180,12900,0,2760,3,300,780,0,0,0,0,0
2019-02-28T23:34:00+01:00,2019-03-01T07:20:00+01:00,13800,12420,0,1740,2,300,660,0,0,0,0,0
2019-03-01T22:39:00+01:00,2019-03-02T07:56:00+01:00,15120,15780,0,2520,4,0,240,0,0,0,0,0
2019-03-02T22:41:00+01:00,2019-03-03T08:29:00+01:00,15120,16080,0,4080,6,0,0,1,0,0,0,0
2019-03-03T23:15:00+01:00,2019-03-04T07:40:00+01:00,15480,12960,0,1860,2,780,300,0,0,0,0,0
2019-03-05T00:34:00+01:00,2019-03-05T07:06:00+01:00,11339,12001,0,180,0,180,0,0,0,0,0,0
2019-03-05T23:30:00+01:00,2019-03-06T07:34:00+01:00,16980,10260,0,1800,2,0,420,0,0,0,0,0
2019-03-07T00:22:00+01:00,2019-03-07T07:51:00+01:00,10440,11880,0,4620,5,1200,0,0,0,0,0,0
2019-03-08T01:55:00+01:00,2019-03-08T07:52:00+01:00,11700,7560,0,2160,2,420,0,0,0,0,0,0
2019-03-09T00:58:00+01:00,2019-03-09T09:55:00+01:00,17640,12840,0,1740,3,360,420,0,0,0,0,0
2019-03-10T23:14:00+01:00,2019-03-11T07:36:00+01:00,12420,15840,0,1860,3,360,120,3,0,0,0,0
2019-03-12T23:40:00+01:00,2019-03-13T06:02:00+01:00,9060,12000,0,1860,3,180,0,0,0,0,0,0
2019-03-13T23:33:00+01:00,2019-03-14T07:23:00+01:00,13260,14700,0,240,0,180,60,0,0,0,0,0
2019-03-14T22:23:00+01:00,2019-03-15T07:30:00+01:00,17520,13020,0,2280,3,0,180,0,0,0,0,0
2019-03-15T22:28:00+01:00,2019-03-16T07:44:00+01:00,16860,14220,0,2280,4,360,0,0,0,0,0,0
2019-03-16T23:41:00+01:00,2019-03-17T08:14:00+01:00,13860,15540,0,1380,2,300,120,0,0,0,0,0
